TICKER,PERMNO,NCUSIP,sdate,edate,SCORE
BKYF,92851,06289610,2008-11-24,2015-06-19,1
BKYS,,,2002-09-19,2003-09-17,6
BKYS,90101,00764X10,2004-04-29,2010-04-25,1
BKYS,90101,00764X20,2010-05-20,2013-03-10,1
BKYS,90101,57631410,2013-03-14,2017-04-27,1
BKYS,90101,80511110,2017-05-18,2023-12-29,1
BL0P,65154,09518010,2004-04-15,2016-04-11,1
BL1,29807,10550240,1978-07-20,1997-08-08,1
BL1,85259,28090580,1997-08-14,2000-05-02,1
BL1,85259,10549P60,2000-05-18,2005-11-14,1
BL1,85259,11258510,2005-11-17,2022-12-11,1
BL1,85259,11271J10,2022-12-15,2023-12-29,1
BLD1,82555,05858H10,1995-11-08,2009-01-01,1
BLD1,82555,05858610,2009-01-15,2023-12-29,1
BLDG,77501,62885210,1992-06-18,2010-03-07,1
BLDG,77501,62885220,2010-03-18,2019-05-23,1
BLDG,77501,21925D10,2019-06-20,2022-07-22,1
BLDR,90720,12008R10,2005-07-14,2023-12-29,1
BLK,62519,09368010,1981-04-16,1987-09-23,1
BLK,62519,29271910,1987-10-15,1994-06-01,1
BLK,62519,29271940,1994-06-16,1995-05-25,1
BLK,62519,26874Q10,1995-06-15,2009-12-22,1
BLK,19661,29358Q10,2010-01-14,2012-05-21,1
BLK,93159,G3157S10,2012-06-14,2019-04-10,1
BLK,93159,G3166L10,2019-04-18,2019-07-30,1
BLK,93159,G9402V10,2019-08-15,2020-08-17,1
BLK,,,2020-08-20,,6
BLKB,90276,09227Q10,2004-08-19,2023-12-29,1
BLKI,87267,09247X10,1999-10-14,2023-12-29,1
BLNI,90187,09578R10,2004-05-20,2017-02-16,1
BLT1,65154,09517330,1983-08-18,1995-11-05,1
BLT1,65154,09517710,1995-11-16,1999-08-19,1
BLX,77920,P1699413,1992-12-17,2023-12-29,1
BMBM,,,2004-06-17,2004-09-15,6
BMBM,91437,09656A10,2006-09-21,2017-09-04,1
BMBM,91437,35639010,2017-09-14,2023-12-29,1
BMRN,87056,09061G10,1999-09-16,2023-12-29,1
BMT1,86124,11766510,1992-09-17,2021-12-31,1
BN04,89821,05566T10,2004-04-15,2017-06-15,1
BNCL,92195,08173R10,2007-07-19,2015-01-12,1
BNCL,92195,08171T10,2015-01-15,2019-02-28,1
BOFI,90634,05566U10,2005-03-17,2018-09-12,1
BOFI,90634,05465C10,2018-09-20,2023-12-29,1
BOKF,76892,05561Q20,1995-03-16,2023-12-29,1
BONT,76847,09776J10,1991-11-14,2017-11-08,1
BONT,,,2018-01-18,2020-01-31,6
BOVI,89891,10211F10,2003-11-05,2019-01-01,1
BOVI,89891,03837C10,2019-01-17,2023-12-29,1
BOYD,79758,10330410,1993-12-16,2023-12-29,1
BPBC,80223,10111910,1995-11-16,2021-06-30,1
BPO2,85635,87425E10,2004-09-16,2015-05-07,2
BRA2,77205,09161R10,2004-09-16,2007-12-10,2
BRA2,77205,68232410,2007-12-20,2016-06-08,1
BRA2,77205,14740B10,2016-06-16,2016-11-28,1
BRA2,77205,14740B60,2016-12-15,2018-03-08,1
BRCD,86881,11162110,1999-07-15,2007-06-26,1
BRCD,86881,11162130,2007-07-19,2017-11-16,1
